1.000000, 0.000000
0.905000, 0.100000
0.819025, 0.200000
0.741218, 0.300000
0.670802, 0.400000
0.607076, 0.500000
0.549404, 0.600000
0.497210, 0.700000
0.449975, 0.800000
0.407228, 0.900000
0.368541, 1.000000
0.333530, 1.100000
0.301844, 1.200000
0.273169, 1.300000
0.247218, 1.400000
0.223732, 1.500000
0.202478, 1.600000
0.183242, 1.700000
0.165834, 1.800000
0.150080, 1.900000
0.135822, 2.000000
0.122919, 2.100000
0.111242, 2.200000
0.100674, 2.300000
0.091110, 2.400000
0.082455, 2.500000
0.074621, 2.600000
0.067532, 2.700000
0.061117, 2.800000
0.055311, 2.900000
0.050056, 3.000000
0.045301, 3.100000
0.040997, 3.200000
0.037102, 3.300000
0.033578, 3.400000
0.030388, 3.500000
0.027501, 3.600000
0.024888, 3.700000
0.022524, 3.800000
0.020384, 3.900000
0.018448, 4.000000
0.016695, 4.100000
0.015109, 4.200000
0.013674, 4.300000
0.012375, 4.400000
0.011199, 4.500000
0.010135, 4.600000
0.009172, 4.700000
0.008301, 4.800000
0.007512, 4.900000
0.006799, 5.000000
